unigram	count	topics_list_with_scores
syaman@bayou.uh.edu	6	[(1.0, 123)]
woods	8	[(0.75, 55), (0.25, 90)]
hanging	15	[(0.5333333333333333, 50), (0.26666666666666666, 37), (0.2, 136)]
woody	11	[(0.8181818181818182, 65), (0.18181818181818182, 82)]
suzana	15	[(0.4, 45), (0.3333333333333333, 133), (0.26666666666666666, 78)]
halliburton@enron	12	[(0.75, 145), (0.25, 26)]
unnecessarily	6	[(1.0, 142)]
hermann	18	[(0.7222222222222222, 4), (0.2777777777777778, 137)]
mailto:vince.j.kaminski@enron.com	200	[(0.3, 5), (0.265, 171), (0.095, 17), (0.09, 92), (0.08, 77), (0.045, 89), (0.04, 149), (0.04, 29), (0.03, 111), (0.015, 186)]
broward	5	[(1.0, 6)]
bringing	69	[(0.14492753623188406, 174), (0.11594202898550725, 61), (0.11594202898550725, 48), (0.08695652173913043, 150), (0.07246376811594203, 165), (0.057971014492753624, 153), (0.057971014492753624, 116), (0.057971014492753624, 70), (0.057971014492753624, 46), (0.057971014492753624, 2), (0.043478260869565216, 173), (0.028985507246376812, 137), (0.028985507246376812, 90), (0.028985507246376812, 79), (0.014492753623188406, 92), (0.014492753623188406, 30), (0.014492753623188406, 28)]
naukowo-techniczne	18	[(1.0, 68)]
liaisons	8	[(1.0, 78)]
wednesday	1096	[(0.31113138686131386, 5), (0.12043795620437957, 171), (0.07025547445255474, 47), (0.04470802919708029, 191), (0.040145985401459854, 10), (0.03102189781021898, 136), (0.02737226277372263, 92), (0.02645985401459854, 117), (0.025547445255474453, 30), (0.024635036496350366, 77), (0.01916058394160584, 60), (0.017335766423357664, 89), (0.01551094890510949, 9), (0.014598540145985401, 152), (0.014598540145985401, 91), (0.014598540145985401, 78), (0.013686131386861315, 79), (0.013686131386861315, 54), (0.012773722627737226, 28), (0.010948905109489052, 87), (0.010036496350364963, 80), (0.008211678832116789, 119), (0.008211678832116789, 85), (0.0072992700729927005, 56), (0.0072992700729927005, 44), (0.0072992700729927005, 27), (0.006386861313868613, 196), (0.006386861313868613, 112), (0.006386861313868613, 108), (0.006386861313868613, 69), (0.006386861313868613, 17), (0.005474452554744526, 193), (0.005474452554744526, 180), (0.005474452554744526, 172), (0.005474452554744526, 168), (0.005474452554744526, 139), (0.005474452554744526, 137), (0.004562043795620438, 183), (0.004562043795620438, 96), (0.0036496350364963502, 176), (0.0018248175182481751, 149), (0.0018248175182481751, 148), (0.0018248175182481751, 128)]
tom's	12	[(1.0, 13)]
feasibility	5	[(0.6, 43), (0.4, 110)]
gorman	6	[(1.0, 115)]
errors	39	[(0.48717948717948717, 7), (0.28205128205128205, 170), (0.1282051282051282, 50), (0.10256410256410256, 77)]
cooking	14	[(0.8571428571428571, 162), (0.14285714285714285, 123)]
designing	22	[(0.2727272727272727, 180), (0.18181818181818182, 173), (0.18181818181818182, 67), (0.09090909090909091, 147), (0.09090909090909091, 72), (0.09090909090909091, 69), (0.09090909090909091, 6)]
shocks	7	[(0.42857142857142855, 132), (0.42857142857142855, 3), (0.14285714285714285, 102)]
sherriff/lon/ect@ect	40	[(0.3, 22), (0.25, 95), (0.175, 114), (0.15, 180), (0.075, 195), (0.05, 90)]
mailings	18	[(0.6111111111111112, 164), (0.2222222222222222, 2), (0.16666666666666666, 107)]
lyris-confirm	9	[(1.0, 129)]
affiliates	92	[(0.8804347826086957, 92), (0.06521739130434782, 97), (0.021739130434782608, 61), (0.021739130434782608, 55), (0.010869565217391304, 34)]
china	46	[(0.1956521739130435, 186), (0.1956521739130435, 27), (0.15217391304347827, 78), (0.08695652173913043, 165), (0.08695652173913043, 151), (0.08695652173913043, 28), (0.06521739130434782, 140), (0.043478260869565216, 195), (0.043478260869565216, 75), (0.043478260869565216, 3)]
kids	22	[(0.36363636363636365, 50), (0.3181818181818182, 27), (0.13636363636363635, 87), (0.09090909090909091, 54), (0.045454545454545456, 115), (0.045454545454545456, 56)]
climbed	10	[(0.5, 41), (0.4, 75), (0.1, 8)]
